Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Возраст,Стаж работы (лет),Уровень образования,Пол,Отдел,Зарплата,Премия
4.8,87,291,34,22,3,27,29,30,Bachelor,Female,Marketing,56992,69700.0
9.6,66,272,0,28,13,0,37,25,Master,Male,Finance,59622,55000.0
8.0,48,259,32,23,10,16,64,9,High School,Male,IT,117259,60900.0
8.2,84,126,45,13,14,11,28,3,Bachelor,Male,Sales,54123,67100.0
5.8,81,293,30,7,10,28,36,0,PhD,Male,Marketing,106729,28400.0
4.3,51,197,45,4,7,10,48,12,Bachelor,Male,Sales,32561,50900.0
6.6,13,98,35,15,14,10,42,20,Bachelor,Male,Sales,79209,36600.0
9.0,0,254,45,8,16,23,23,32,PhD,Female,IT,37920,20000.0
1.9,97,86,41,5,4,20,35,28,High School,Female,Marketing,77762,53400.0
3.1,57,133,46,28,13,15,46,25,Bachelor,Female,Marketing,83549,70300.0
7.5,37,176,46,1,14,4,32,1,Master,Female,Finance,87102,41600.0
6.6,86,106,7,18,12,16,58,8,Bachelor,Female,Finance,35250,33000.0
3.7,38,121,3,17,13,13,31,16,PhD,Male,Sales,71519,10000.0
6.9,86,246,44,10,17,14,35,11,Bachelor,Male,HR,104819,50600.0
7.4,24,206,13,21,4,17,20,21,Bachelor,Female,HR,46971,41500.0
1.6,47,101,33,10,5,17,26,27,Master,Female,IT,92210,38300.0
1.4,71,183,18,17,5,17,24,38,PhD,Male,Finance,74037,40600.0
7.1,73,281,14,20,18,18,58,12,High School,Female,Sales,94106,26100.0
6.0,68,284,6,25,14,6,40,14,PhD,Female,Sales,80966,41900.0
2.4,69,125,5,12,10,18,30,9,PhD,Male,IT,74923,10500.0
8.9,36,255,40,0,0,2,24,14,High School,Male,Sales,87129,66600.0
3.4,53,222,15,11,15,15,57,16,High School,Female,Marketing,83523,10000.0
9.5,15,244,47,18,20,2,55,17,Master,Male,Finance,36661,55500.0
4.3,34,97,2,25,12,3,48,32,Master,Female,IT,82492,31300.0
9.1,5,297,30,2,17,18,34,15,PhD,Female,Finance,68917,10000.0
7.5,66,173,22,11,12,0,37,7,High School,Male,Marketing,80022,49300.0
2.1,58,95,5,8,3,1,35,31,PhD,Female,HR,67108,31600.0
1.5,17,114,36,11,3,15,47,37,Master,Male,IT,115026,39600.0
3.5,88,100,42,23,7,27,30,15,Bachelor,Female,IT,98211,68900.0
5.8,21,94,26,0,19,11,48,8,Master,Male,Finance,85680,10000.0
6.4,2,300,27,5,15,28,65,8,Master,Male,IT,112048,10000.0
9.2,11,241,3,19,17,9,30,17,Master,Female,Finance,35728,10200.0
9.8,85,141,19,27,14,12,20,18,PhD,Female,Sales,47990,64600.0
3.2,30,208,10,23,9,3,33,37,High School,Female,IT,35087,38900.0
8.1,92,190,47,13,0,24,35,26,Master,Female,Marketing,45536,86300.0
2.3,75,127,30,25,5,18,28,26,PhD,Female,Finance,86935,66600.0
4.0,52,251,40,8,14,3,39,28,PhD,Male,Finance,76620,44600.0
4.6,1,169,24,24,6,19,41,7,High School,Male,HR,55910,38500.0
5.9,33,224,24,10,6,17,22,6,Master,Male,Sales,37915,31700.0
4.1,91,253,16,15,10,4,55,1,High School,Male,IT,85859,50000.0
9.9,89,274,9,6,2,25,53,25,High School,Female,Sales,76532,35500.0
4.1,16,190,18,7,10,13,29,1,High School,Female,Marketing,64342,10000.0
3.8,11,106,10,28,14,28,53,40,Bachelor,Male,Finance,41366,10000.0
2.3,70,92,2,1,11,11,51,3,PhD,Male,IT,104180,10000.0
1.7,25,128,11,14,7,1,31,15,Master,Female,Marketing,74551,27900.0
3.5,98,158,20,24,15,9,52,30,Bachelor,Male,IT,51883,53400.0
8.5,76,280,7,14,5,12,43,3,Master,Female,Marketing,59363,45800.0
5.3,90,267,23,12,20,12,56,1,Bachelor,Male,Finance,50312,26600.0
7.0,58,166,5,15,5,27,44,35,Master,Female,Marketing,93948,21900.0
2.8,9,258,0,26,9,6,22,35,Master,Female,Marketing,118177,23300.0
1.5,67,227,24,1,15,1,58,37,Bachelor,Female,Sales,36241,17600.0
1.4,18,299,1,26,18,3,39,30,Bachelor,Female,Finance,91717,10000.0
3.1,65,137,20,15,9,20,27,12,PhD,Female,Marketing,84296,30200.0
2.9,26,127,30,6,20,6,60,28,Master,Female,IT,117312,10000.0
4.3,41,105,33,21,10,22,58,28,Master,Male,Finance,39588,43400.0
8.3,88,164,26,19,0,0,40,20,Master,Male,Finance,30469,97500.0
7.1,7,164,7,18,1,15,45,11,PhD,Male,Sales,31347,33300.0
4.1,75,99,46,20,14,4,65,26,Master,Male,HR,57066,74700.0
3.7,77,125,37,10,3,12,64,8,High School,Male,Finance,107701,64500.0
7.9,30,82,3,8,0,15,23,16,Bachelor,Female,Finance,94495,24800.0
8.4,28,165,43,29,4,7,57,19,Master,Male,Marketing,40485,96700.0
9.1,34,89,16,28,13,13,60,23,High School,Female,Finance,62721,47400.0
7.9,96,242,17,13,2,25,28,0,Master,Male,Finance,81624,52100.0
8.1,12,201,10,4,19,2,30,21,Bachelor,Male,HR,90058,10000.0
1.4,27,209,2,0,8,4,45,3,PhD,Female,Marketing,109799,10000.0
2.8,8,225,3,20,4,16,26,6,PhD,Female,Finance,107867,17000.0
4.9,86,240,14,26,1,12,39,3,High School,Male,HR,109816,74600.0
9.5,70,290,47,30,18,17,55,27,Bachelor,Male,Marketing,105026,79000.0
9.4,59,135,29,0,3,15,54,26,High School,Female,Sales,52790,44500.0
7.3,36,228,22,0,17,11,51,40,PhD,Female,Sales,70079,10000.0
9.4,11,217,44,12,9,23,65,30,PhD,Female,HR,49892,43100.0
3.4,95,296,2,28,3,17,20,5,Master,Male,Sales,78517,56300.0
6.4,35,274,21,29,6,28,64,12,PhD,Male,Marketing,33404,47800.0
9.1,71,265,25,21,20,5,26,24,PhD,Female,IT,104883,51000.0
3.2,0,105,49,13,2,24,53,24,Bachelor,Male,Sales,89273,46900.0
4.2,40,225,46,10,18,2,33,29,PhD,Male,Marketing,107946,43400.0
4.0,49,91,40,27,1,20,62,23,High School,Female,HR,94998,81200.0
3.1,83,251,0,17,20,11,60,32,Bachelor,Female,Sales,58078,10000.0
6.6,3,144,9,2,4,11,36,9,Bachelor,Female,HR,99453,10000.0
4.9,42,201,21,20,14,20,41,10,Master,Male,Marketing,100197,25400.0
8.8,54,262,28,2,4,10,41,21,PhD,Female,Finance,69066,46800.0
4.1,79,293,14,29,13,16,43,5,Master,Male,IT,59633,47400.0
7.3,82,222,25,6,9,3,38,30,Bachelor,Female,Marketing,68056,52200.0
1.6,12,184,10,5,9,22,61,3,High School,Male,Finance,55832,10000.0
1.8,82,276,19,26,7,21,46,25,PhD,Male,Finance,76400,51200.0
2.0,87,275,32,15,3,19,60,19,Master,Female,IT,75783,59600.0
1.4,90,152,12,30,12,2,62,33,High School,Female,Marketing,79744,60800.0
5.7,42,142,9,5,9,18,48,22,Bachelor,Male,Finance,36561,10000.0
8.3,13,269,11,16,10,19,20,1,High School,Female,IT,115280,16500.0
1.5,6,271,7,4,8,20,23,8,Master,Female,IT,50408,10000.0
3.6,77,88,20,11,14,1,55,40,High School,Male,IT,68830,37800.0
7.7,80,140,30,25,4,15,52,7,High School,Female,Sales,108098,83900.0
7.8,90,151,34,11,9,12,45,12,Bachelor,Male,Sales,98073,63100.0
5.8,39,100,39,0,9,25,29,16,Master,Male,IT,100909,19300.0
3.3,80,249,35,4,13,20,62,21,High School,Female,Sales,38810,25600.0
7.1,85,202,49,16,20,16,44,16,Master,Female,Marketing,92109,56700.0
6.7,72,200,45,27,9,6,34,33,Bachelor,Female,IT,42298,96500.0
9.9,3,233,6,13,13,21,26,18,Bachelor,Female,IT,109600,10000.0
8.1,64,199,11,0,18,23,47,10,Bachelor,Male,Finance,68890,10000.0
1.1,44,105,7,6,4,21,54,38,Bachelor,Male,HR,85261,10000.0
6.9,1,129,42,5,10,13,28,15,PhD,Female,IT,93433,30600.0
2.1,35,201,29,15,6,13,32,20,PhD,Male,HR,47917,41200.0
7.8,39,155,43,25,16,11,61,33,Master,Male,Finance,118719,64800.0
4.7,65,175,7,20,20,19,34,10,Bachelor,Male,IT,50990,10000.0
6.5,4,98,9,3,16,3,64,24,Bachelor,Male,Marketing,54666,10000.0
9.7,55,107,33,14,1,15,37,28,High School,Female,IT,36547,72900.0
5.5,66,125,43,2,7,5,35,24,High School,Female,Sales,97648,57800.0
1.5,50,130,49,20,8,0,25,36,Bachelor,Male,Marketing,99496,81000.0
6.9,27,240,0,4,18,18,32,3,Bachelor,Male,IT,47074,10000.0
2.8,89,136,14,10,7,18,60,37,PhD,Female,Marketing,102776,29300.0
8.4,95,226,35,4,10,16,61,0,PhD,Male,HR,62976,50300.0
5.3,31,164,38,26,4,1,30,13,Bachelor,Female,IT,106753,87900.0
2.4,16,239,19,24,9,22,32,20,Master,Female,IT,78059,24600.0
4.1,47,245,50,30,1,3,62,7,Bachelor,Male,Sales,42066,112300.0
9.6,12,158,22,21,12,23,32,16,Master,Male,Marketing,111733,29300.0
3.7,68,218,15,17,17,10,63,6,PhD,Male,Finance,74378,24300.0
7.6,41,126,32,23,1,5,52,40,Master,Male,HR,50378,87000.0
5.2,8,95,34,1,11,11,20,9,High School,Female,HR,80380,15300.0
1.7,13,108,44,0,0,27,41,19,Bachelor,Female,HR,63176,24300.0
4.8,75,171,0,16,19,14,51,4,High School,Male,Marketing,116728,10000.0
8.4,13,265,36,13,19,22,20,12,PhD,Female,IT,104863,16200.0
4.1,24,157,11,13,12,15,41,33,Master,Male,Sales,44978,10000.0
4.6,15,178,10,0,1,13,20,15,PhD,Male,IT,89213,10000.0
1.4,78,289,19,16,7,8,37,28,PhD,Female,Finance,106889,47200.0
6.0,4,286,27,21,10,28,64,2,Bachelor,Male,HR,73879,23700.0
8.3,34,169,38,11,6,15,56,12,Bachelor,Female,HR,106002,54300.0
6.5,94,214,46,21,1,0,60,33,High School,Female,Marketing,78216,116700.0
7.3,32,170,1,28,18,5,52,38,Bachelor,Male,IT,72322,26200.0
1.9,22,118,8,1,13,8,21,35,High School,Male,IT,65731,10000.0
8.6,31,84,49,30,15,0,53,22,Master,Female,Marketing,87253,90500.0
3.5,60,265,23,2,14,22,60,19,PhD,Male,Finance,53585,10000.0
9.7,28,298,22,29,17,26,35,37,PhD,Male,Sales,40438,33300.0
7.3,59,227,43,21,17,17,43,18,Bachelor,Male,Sales,67200,55800.0
1.2,54,128,2,2,10,17,33,8,PhD,Male,Marketing,112596,10000.0
9.6,50,93,47,15,7,25,43,15,Master,Male,Sales,72897,64700.0
4.1,25,97,42,9,11,10,42,13,Bachelor,Male,Marketing,72166,39200.0
1.9,24,216,9,14,5,5,38,32,Bachelor,Female,HR,34866,26000.0
5.7,78,184,45,21,8,25,37,19,PhD,Female,Sales,99001,70300.0
4.9,18,190,33,18,1,21,42,40,High School,Male,Sales,109726,52200.0
2.5,86,273,32,30,0,23,50,14,Master,Female,Marketing,48948,84800.0
5.3,65,159,9,12,1,0,42,28,Bachelor,Male,Sales,111294,55100.0
1.7,48,203,0,21,15,4,45,20,Master,Male,Sales,67898,15300.0
8.9,83,136,24,4,3,27,42,33,PhD,Female,Marketing,38892,39700.0
4.6,90,161,21,0,6,10,63,0,Master,Female,Finance,110364,35200.0
3.6,27,252,6,16,12,18,43,8,High School,Female,IT,117361,10000.0
2.8,64,109,40,11,20,19,38,35,Bachelor,Female,Finance,97300,22300.0
1.6,76,120,45,21,5,12,24,27,Bachelor,Male,Marketing,33102,80500.0
3.9,92,223,43,7,1,24,43,25,Bachelor,Female,Finance,70474,62900.0
9.1,41,216,16,8,9,12,47,2,High School,Female,Finance,103506,28500.0
5.3,2,271,47,6,10,14,56,2,High School,Female,Sales,31390,33200.0
7.0,14,178,23,20,10,26,55,8,Master,Male,Sales,96996,25200.0
8.6,46,115,14,21,7,24,47,20,Master,Male,Finance,68852,38500.0
3.1,21,278,24,1,5,2,54,12,Master,Female,IT,114671,26000.0
5.1,10,269,10,7,8,16,42,31,PhD,Female,Sales,110180,10000.0
8.7,8,200,41,3,20,20,48,3,Bachelor,Female,Finance,94249,10000.0
7.5,29,220,28,5,19,5,64,5,Bachelor,Female,Sales,57873,16200.0
5.6,11,287,19,14,10,21,34,21,Master,Female,Sales,42007,13500.0
6.7,72,130,22,22,20,7,37,21,Master,Female,Sales,52605,43000.0
7.9,44,169,2,17,9,22,60,10,PhD,Female,Marketing,103439,16500.0
5.0,36,282,4,21,18,12,26,12,Bachelor,Male,Sales,97139,10000.0
3.6,33,132,35,22,10,19,55,15,Bachelor,Male,Sales,55571,46100.0
3.5,18,256,20,15,3,27,24,9,Bachelor,Male,HR,115632,21900.0
9.1,65,221,14,7,19,5,53,25,High School,Male,IT,82095,19200.0
5.6,0,108,12,16,9,10,48,1,High School,Male,Marketing,51280,19200.0
8.2,48,275,4,24,4,21,44,5,High School,Female,IT,68154,41800.0
7.7,95,114,40,14,15,7,47,36,Bachelor,Male,Finance,82244,67900.0
9.7,53,140,32,13,14,24,59,19,PhD,Male,Marketing,37326,34800.0
7.1,80,299,37,17,13,26,20,16,Master,Female,Finance,39905,48700.0
5.6,7,194,33,9,14,10,33,3,High School,Male,Sales,45983,21800.0
3.3,12,99,41,22,12,15,53,11,Master,Male,Finance,57555,45200.0
3.9,78,300,2,18,12,7,45,36,Master,Female,HR,41880,29200.0
7.4,95,112,30,13,7,15,49,14,Master,Female,Finance,47074,63800.0
6.6,13,80,12,2,12,24,36,36,Bachelor,Female,IT,99565,10000.0
3.4,65,173,50,14,8,2,47,1,PhD,Female,Sales,75437,79300.0
9.1,22,84,34,5,2,7,49,19,High School,Male,Sales,103300,55300.0
5.8,14,238,4,4,20,5,53,37,Master,Female,HR,78845,10000.0
7.6,38,165,11,10,8,20,46,30,PhD,Female,IT,94192,16600.0
2.7,85,109,19,19,1,9,48,35,High School,Female,IT,35002,67400.0
1.8,78,210,11,25,15,15,55,9,High School,Male,Marketing,58557,30500.0
5.3,25,253,48,4,19,7,40,24,PhD,Female,Finance,78088,27100.0
8.3,12,254,48,28,0,2,57,2,High School,Female,Sales,91870,108200.0
5.5,79,252,12,25,17,26,45,8,High School,Female,IT,78746,24200.0
9.7,11,240,41,21,6,27,45,37,PhD,Male,Marketing,117462,56200.0
9.7,43,223,23,19,8,7,20,37,High School,Male,Sales,100107,60800.0
6.2,32,285,10,1,13,17,63,34,Bachelor,Male,Marketing,56604,10000.0
2.5,85,170,47,30,8,6,42,40,High School,Female,Finance,91905,100500.0
8.7,100,125,42,7,5,26,33,32,High School,Female,Finance,67256,63900.0
2.6,29,141,33,2,15,11,63,37,Bachelor,Female,Finance,96407,10000.0
1.1,24,217,35,26,18,19,48,3,High School,Male,Sales,34612,28400.0
8.0,61,81,40,21,12,8,31,29,Master,Male,Marketing,55236,73800.0
1.4,34,226,1,6,19,2,65,11,PhD,Male,Finance,54583,10000.0
9.0,18,180,18,21,13,7,59,36,Bachelor,Male,HR,59661,39900.0
8.5,28,132,38,22,18,24,27,10,Bachelor,Male,IT,79756,36400.0
1.6,58,268,40,28,7,19,47,17,Master,Female,Sales,70142,69600.0
3.6,75,192,30,4,9,23,61,22,High School,Male,HR,56293,24700.0
5.6,63,119,10,18,0,23,58,11,High School,Male,Sales,46452,44100.0
5.7,18,165,11,4,9,26,49,13,PhD,Female,HR,55333,10000.0
6.9,85,243,42,18,15,1,50,6,PhD,Female,HR,74928,77300.0
5.3,55,205,26,7,6,15,26,36,Bachelor,Female,HR,94790,36600.0
5.6,56,274,22,1,13,16,32,20,High School,Male,Finance,100077,10000.0
3.1,57,160,3,7,10,14,31,15,Bachelor,Male,Finance,94995,10000.0
5.8,22,165,2,3,15,7,33,31,Bachelor,Female,Marketing,62034,10000.0
3.7,21,97,4,11,14,7,60,12,PhD,Female,Finance,31965,10000.0
3.1,55,227,0,5,20,18,24,3,Bachelor,Male,IT,106298,10000.0
6.9,23,137,6,10,14,5,46,1,Master,Male,IT,90987,10000.0
8.6,9,165,37,3,7,8,57,12,High School,Female,IT,44705,39400.0
8.8,3,88,20,21,4,2,40,10,High School,Male,Sales,61963,60000.0
5.7,43,229,14,27,11,17,27,0,High School,Female,Marketing,61210,39800.0
6.5,0,211,41,28,3,5,61,33,PhD,Female,Marketing,37464,85000.0
4.7,79,163,15,23,4,16,49,31,Master,Female,IT,75908,58600.0
2.0,31,286,13,5,9,10,64,33,High School,Female,Sales,45625,10000.0
7.6,42,271,10,19,20,28,36,32,High School,Female,Finance,78508,10000.0
1.4,49,287,34,30,16,25,65,18,Master,Male,Marketing,119488,39500.0
4.4,22,179,6,1,9,2,22,33,Master,Male,IT,60518,10000.0
8.7,55,165,28,15,5,11,50,32,Bachelor,Female,IT,37522,63400.0
1.6,25,171,28,9,3,22,35,14,High School,Female,Finance,78500,24200.0
7.8,84,193,2,22,9,21,34,7,Bachelor,Female,Marketing,39352,36800.0
9.8,84,279,30,26,3,21,56,33,Master,Female,Marketing,50136,86800.0
1.7,73,276,42,0,16,24,38,20,PhD,Male,Marketing,113721,11300.0
8.5,74,240,47,23,1,11,60,35,High School,Male,Marketing,30852,107700.0
4.6,67,288,30,23,7,15,37,28,High School,Male,HR,60277,64800.0
9.5,53,264,44,27,6,24,30,2,High School,Male,IT,105351,83400.0
5.6,99,126,11,22,17,5,29,5,Master,Female,Finance,52611,45900.0
3.6,3,82,34,25,19,17,39,40,Bachelor,Female,Finance,48419,24600.0
3.6,80,201,38,9,14,0,50,25,Bachelor,Female,Sales,77401,54700.0
5.9,31,93,32,3,10,5,29,38,High School,Male,HR,66343,32600.0
7.7,13,154,33,27,8,5,40,1,High School,Female,HR,37361,71800.0
1.5,55,85,33,25,3,9,59,33,PhD,Female,Finance,90975,75000.0
3.5,89,146,10,29,14,13,42,10,Master,Female,Finance,89366,46200.0
9.3,20,236,24,15,1,27,43,33,Bachelor,Male,Marketing,31988,42100.0
1.7,20,293,17,20,13,27,21,40,High School,Male,IT,72470,10000.0
7.8,75,237,5,0,19,1,34,21,Master,Male,Finance,31265,10000.0
6.6,38,283,26,15,18,18,51,0,Bachelor,Male,HR,65260,19100.0
7.3,72,145,43,24,9,20,64,6,Master,Male,Marketing,79197,77200.0
3.0,33,268,23,11,13,12,58,36,PhD,Male,HR,106963,17400.0
4.1,41,296,11,18,4,27,31,27,Bachelor,Male,Finance,109131,23500.0
8.4,20,225,47,29,11,21,63,34,High School,Male,IT,45047,70300.0
9.1,36,117,38,21,19,4,38,0,PhD,Female,HR,31178,56500.0
6.5,100,84,19,10,14,13,48,3,PhD,Female,Sales,102834,36000.0
5.7,28,145,48,8,11,3,59,20,PhD,Male,Marketing,55138,54800.0
2.2,68,224,45,13,15,28,61,12,Bachelor,Female,IT,75991,31300.0
1.5,62,237,32,2,16,1,38,5,Master,Male,IT,108775,23600.0
3.2,14,168,20,18,6,26,42,11,PhD,Female,IT,51727,19600.0
8.3,99,212,42,22,0,22,39,38,PhD,Male,Finance,78305,99300.0
2.3,47,121,50,19,5,7,62,36,Bachelor,Male,IT,76122,80200.0
6.9,73,114,32,4,7,4,58,30,Bachelor,Female,IT,103813,55700.0
2.3,85,192,20,29,3,26,48,32,Master,Female,HR,80158,61600.0
8.8,75,180,35,12,8,10,20,2,Master,Male,HR,113726,67100.0
2.3,58,183,37,7,18,2,45,1,PhD,Male,HR,101428,31500.0
9.8,99,228,34,5,12,7,21,30,Bachelor,Female,Sales,58757,59800.0
2.9,35,219,33,4,15,15,63,10,High School,Male,Finance,105432,10300.0
1.9,30,151,24,2,19,12,24,9,PhD,Female,Sales,111423,10000.0
4.6,15,246,5,9,14,22,51,20,Master,Male,Marketing,97312,10000.0
8.0,51,177,18,19,13,5,44,18,Master,Male,HR,62586,46800.0
1.6,91,235,6,13,20,20,46,8,High School,Female,HR,87161,10000.0
8.0,6,200,37,4,2,10,47,6,Bachelor,Female,Sales,39609,46800.0
6.7,81,272,25,14,17,5,47,13,Master,Male,Marketing,74927,44700.0
5.7,96,244,39,7,17,7,32,17,Bachelor,Male,Sales,71848,48700.0
8.6,79,237,39,14,1,11,42,34,PhD,Female,Marketing,33845,87900.0
6.0,35,252,3,28,14,22,33,31,Bachelor,Male,IT,64316,17500.0
5.6,70,240,11,17,18,11,20,15,PhD,Male,Sales,98187,21700.0
1.3,51,136,34,5,3,15,23,0,High School,Male,Sales,70075,38400.0
8.9,23,162,17,13,18,13,45,18,PhD,Female,Sales,31525,12200.0
8.2,25,208,47,26,19,19,41,25,Master,Female,Marketing,39079,52900.0
1.3,27,139,18,26,4,17,29,3,Master,Male,IT,115690,42700.0
5.3,54,142,3,13,18,22,64,25,High School,Female,Marketing,67056,10000.0
5.5,87,94,29,23,17,28,37,31,High School,Male,HR,88671,38600.0
5.0,48,106,47,30,14,15,45,11,High School,Female,Marketing,106326,73400.0
1.3,47,114,16,16,5,26,45,20,Master,Male,Sales,60030,20700.0
8.1,40,269,18,10,7,21,24,17,PhD,Female,Marketing,103808,26200.0
8.1,2,257,24,22,10,11,31,4,Bachelor,Female,IT,76815,42800.0
2.1,76,197,3,4,15,1,60,24,Bachelor,Male,Sales,119737,10000.0
3.4,84,122,6,2,4,20,49,20,Bachelor,Male,Sales,69184,13000.0
2.1,59,275,22,9,16,21,41,33,Master,Female,HR,77821,10000.0
1.4,20,198,27,26,5,3,26,17,PhD,Male,Sales,98578,61800.0
4.7,36,232,42,26,4,19,22,21,PhD,Female,Sales,38353,74200.0
3.6,52,284,48,25,7,21,46,23,Master,Male,Finance,42621,73300.0
7.4,84,197,24,23,0,14,57,29,Master,Male,HR,75216,84500.0
1.0,22,257,32,12,5,19,26,2,PhD,Male,Finance,70447,29600.0
3.7,79,241,15,30,11,18,60,36,High School,Female,Marketing,70664,51100.0
5.2,97,268,42,6,15,20,27,39,High School,Female,Sales,39286,40500.0
7.0,19,226,46,4,20,9,36,6,PhD,Male,HR,117128,22700.0
2.5,61,211,18,28,7,7,27,31,Master,Male,Marketing,94867,62300.0
8.3,24,194,21,1,14,1,44,10,PhD,Male,Marketing,53880,17300.0
3.9,72,82,19,0,6,22,56,26,PhD,Female,Marketing,87962,14400.0
3.6,26,246,38,24,9,8,39,6,High School,Female,Sales,49381,63000.0
8.1,34,287,9,27,6,3,22,25,PhD,Male,Sales,117092,60900.0
5.7,4,180,36,15,3,13,34,22,Master,Male,Marketing,94328,52100.0
8.7,58,174,49,16,18,16,54,28,Bachelor,Female,IT,109679,55800.0
5.3,35,279,35,3,8,12,35,26,Master,Female,Finance,91282,32600.0
5.2,94,126,48,23,18,26,37,18,High School,Female,Sales,46341,59100.0
3.8,40,257,20,11,0,4,34,6,Master,Male,Finance,117822,52100.0
6.0,93,236,16,18,12,18,43,11,PhD,Male,Sales,95575,40900.0
8.5,52,149,49,8,12,2,24,24,PhD,Female,Marketing,86124,67600.0
2.7,39,228,28,2,8,20,39,10,PhD,Male,Finance,33471,12100.0
8.9,88,140,2,19,5,1,38,39,High School,Female,Sales,46501,63700.0
5.8,87,92,18,11,7,20,40,4,Bachelor,Male,Finance,63219,38200.0
9.8,39,285,21,11,10,5,41,38,Bachelor,Male,Sales,81200,43800.0
2.3,66,159,42,6,15,1,25,7,PhD,Female,IT,63433,44400.0
4.5,50,285,34,22,6,9,23,23,Bachelor,Male,Sales,119257,70000.0
6.8,18,162,36,16,13,20,51,37,PhD,Male,HR,115877,33000.0
9.6,50,91,10,16,19,9,65,6,Bachelor,Male,Finance,41090,21200.0
8.1,66,271,44,15,5,0,55,23,High School,Male,Marketing,30065,92500.0
9.6,34,230,30,14,15,23,36,37,PhD,Female,Sales,55543,27400.0
4.4,91,92,13,9,3,4,64,9,High School,Female,IT,66284,52600.0
1.2,5,186,1,17,9,24,54,37,Master,Male,Marketing,93630,10000.0
1.6,56,140,26,7,5,16,26,1,Master,Male,Finance,30597,30500.0
3.5,53,188,42,25,20,6,38,9,PhD,Female,Marketing,115421,56400.0
3.4,3,171,43,13,5,12,40,30,PhD,Female,Finance,109190,48200.0
2.6,27,251,27,26,2,13,48,10,Bachelor,Female,IT,59737,62300.0
1.3,38,249,46,25,15,28,57,22,PhD,Female,IT,102413,39500.0
5.9,70,296,33,10,10,7,43,29,PhD,Female,IT,72801,53800.0
2.2,67,152,13,9,20,1,63,38,Bachelor,Male,Finance,49989,10000.0
1.9,59,121,27,5,5,19,47,3,High School,Female,Sales,58622,27000.0
2.4,97,154,5,4,3,3,35,12,Bachelor,Female,Sales,56250,35900.0
4.6,31,153,44,25,20,10,54,30,Master,Male,IT,116754,50000.0
8.5,87,91,17,6,14,2,34,26,PhD,Male,Sales,74405,39100.0
8.5,20,186,37,6,2,4,24,2,PhD,Female,Finance,43384,61000.0
4.4,23,89,50,10,10,26,34,17,Master,Male,HR,36042,34700.0
6.7,42,217,20,30,18,2,55,34,Master,Male,Finance,35602,53000.0
3.3,8,289,10,5,15,2,42,15,Bachelor,Male,Finance,35143,10000.0
9.7,11,175,46,24,18,16,32,33,PhD,Female,HR,91336,52700.0
2.1,62,214,28,10,11,20,60,13,Master,Male,Sales,115562,23800.0
8.0,41,202,11,30,0,2,62,34,High School,Male,Finance,46366,82300.0
3.2,85,192,39,1,18,17,47,34,High School,Female,HR,91818,19400.0
8.1,13,281,18,7,1,0,64,3,Master,Female,IT,43215,46600.0
6.7,82,248,50,28,20,20,45,26,PhD,Female,Finance,43957,70000.0
7.2,85,196,37,21,9,28,59,22,Bachelor,Male,HR,108466,62400.0
9.8,66,260,33,16,13,14,42,12,High School,Male,Finance,31015,56400.0
4.9,29,137,34,27,12,3,64,31,High School,Female,Sales,59176,66000.0
7.2,50,271,2,29,5,19,44,1,PhD,Female,Marketing,101391,45900.0
5.9,7,91,35,17,16,4,53,18,High School,Male,HR,113749,38400.0
2.4,36,159,39,28,7,4,21,32,High School,Female,Marketing,111212,78600.0
9.9,66,220,11,15,18,19,25,5,High School,Male,Finance,91507,18100.0
1.9,74,171,8,19,14,4,35,13,Master,Female,Finance,96793,30500.0
1.9,4,171,7,23,2,1,55,23,High School,Male,Marketing,69359,41500.0
5.8,69,160,24,17,1,17,60,3,PhD,Female,Finance,85726,62800.0
2.2,6,235,2,17,16,17,24,35,Master,Male,Marketing,30742,10000.0
5.0,53,160,48,10,4,21,58,40,Bachelor,Female,IT,87953,59900.0
5.8,3,116,24,6,17,8,61,20,Master,Male,Finance,36581,10000.0
5.5,37,85,8,30,1,19,27,3,High School,Female,IT,40172,54100.0
5.1,32,96,20,24,12,23,62,39,PhD,Male,Marketing,117975,28800.0
4.7,30,191,38,30,12,27,25,19,High School,Female,Marketing,97538,50400.0
2.7,8,87,28,22,5,16,52,36,PhD,Female,HR,84502,42800.0
6.5,7,124,22,10,18,9,65,28,Master,Female,Finance,107867,10000.0
6.2,41,293,9,12,13,15,40,29,Bachelor,Male,Marketing,106423,10700.0
5.8,67,197,46,15,11,11,56,6,Bachelor,Male,IT,107615,67200.0
4.9,54,239,20,4,10,15,35,40,Master,Male,Sales,53115,17000.0
5.7,33,262,43,4,0,11,36,39,PhD,Female,Sales,97280,59300.0
6.1,5,218,5,7,4,19,22,36,PhD,Female,HR,98249,10000.0
2.0,72,156,42,18,15,2,37,11,High School,Female,Finance,53228,62600.0
6.0,62,80,48,18,15,10,22,0,PhD,Female,Finance,111006,65600.0
2.8,48,248,37,2,15,26,33,1,High School,Male,IT,56200,10000.0
8.8,2,173,41,8,9,0,25,18,PhD,Male,IT,47962,53200.0
9.9,64,151,41,5,14,16,48,21,High School,Female,IT,81761,43500.0
2.9,0,83,3,10,16,28,21,20,Bachelor,Male,Finance,47908,10000.0
3.7,4,162,3,23,11,6,35,34,High School,Male,HR,73828,18100.0
