Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Премия
1.6,46,107,32,16,9,17,38000.0
8.6,42,177,9,23,10,9,44300.0
8.8,33,137,0,16,1,8,41500.0
1.8,41,200,26,0,14,28,10000.0
9.7,92,119,24,7,4,6,67500.0
8.9,84,94,37,27,3,24,90500.0
4.2,37,194,17,4,5,26,10000.0
9.1,90,177,50,19,4,23,92700.0
7.0,79,99,8,17,13,16,29200.0
2.3,95,181,3,26,16,14,29100.0
8.5,22,97,41,4,19,24,10000.0
1.1,51,173,30,10,19,5,19500.0
7.3,60,95,21,9,5,6,51100.0
3.5,68,222,17,17,1,1,66900.0
2.0,64,119,13,20,2,27,35200.0
6.8,36,196,19,22,17,14,28400.0
7.2,61,89,0,17,7,4,40200.0
8.0,12,159,37,28,9,18,62600.0
3.3,65,260,48,21,3,2,97600.0
9.8,18,272,11,10,18,19,10000.0
9.6,45,285,10,10,16,28,10000.0
7.6,44,195,8,5,5,4,29900.0
5.2,93,83,26,15,10,8,58800.0
7.1,34,132,28,24,5,5,73400.0
4.0,12,299,16,13,0,6,41100.0
6.2,94,174,7,11,14,18,18100.0
1.1,100,147,10,11,18,26,10000.0
7.6,22,267,46,22,20,23,37800.0
5.8,7,207,19,20,12,22,16700.0
3.6,3,230,4,4,7,4,10000.0
8.6,98,267,12,23,4,27,58100.0
6.3,53,137,20,7,5,24,25000.0
5.9,95,249,48,25,17,22,69800.0
7.5,99,254,19,27,19,20,46200.0
4.1,76,185,45,7,8,18,52500.0
3.9,69,289,15,26,2,24,54500.0
8.4,29,165,37,1,14,20,16000.0
1.8,6,247,35,24,9,26,32400.0
6.7,13,85,47,6,18,17,20300.0
9.9,71,85,22,12,10,24,37100.0
1.1,98,225,23,24,8,0,74600.0
4.5,50,97,49,14,14,6,60000.0
1.2,67,121,38,2,8,25,22500.0
1.9,78,145,23,30,15,28,37200.0
4.0,7,269,9,2,19,25,10000.0
4.5,49,121,21,17,6,16,42200.0
5.4,4,202,33,20,3,0,69000.0
5.6,29,230,5,26,14,21,14900.0
9.1,84,255,7,5,5,8,39900.0
2.7,80,87,40,25,18,3,67900.0
1.0,65,123,29,28,9,2,72500.0
8.7,35,96,17,20,18,21,17900.0
5.9,63,266,42,4,20,4,34700.0
3.5,65,245,49,5,13,0,57000.0
3.6,67,116,24,23,1,15,68800.0
5.1,6,206,14,10,20,13,10000.0
6.5,35,141,2,23,9,9,33000.0
5.6,76,268,29,13,6,15,55500.0
8.0,96,92,37,3,18,17,33300.0
4.1,92,139,37,23,4,12,87300.0
5.3,9,88,13,11,7,7,21800.0
9.9,56,258,11,7,14,10,20100.0
9.8,80,242,25,12,2,4,78600.0
2.0,87,212,31,13,15,26,24600.0
3.4,40,267,14,17,7,5,39300.0
5.7,22,116,3,17,7,1,31500.0
2.5,32,97,13,22,4,19,33600.0
6.2,58,188,43,6,10,17,44800.0
1.6,15,190,18,7,6,17,10000.0
2.6,34,156,46,24,5,8,79400.0
7.1,58,247,10,20,3,4,61600.0
5.2,93,190,31,11,15,23,32800.0
7.0,15,157,36,0,7,19,21500.0
5.9,3,204,40,27,13,28,39200.0
6.1,19,109,5,14,1,16,25900.0
8.8,6,127,5,19,8,3,33900.0
6.8,43,94,31,29,8,25,60000.0
4.4,34,273,48,4,18,2,35000.0
4.9,26,119,12,16,15,2,21600.0
8.9,79,235,2,27,20,15,29000.0
4.0,62,94,49,30,3,1,113600.0
6.4,21,136,12,24,17,4,29100.0
3.6,31,184,21,30,10,4,58500.0
3.5,67,190,10,17,17,23,10000.0
1.6,24,300,42,29,12,14,57900.0
7.8,65,231,39,1,16,14,29600.0
7.0,36,240,5,21,20,19,10000.0
1.1,97,197,12,26,13,6,50300.0
4.1,3,122,23,19,4,2,50600.0
8.7,56,289,13,23,2,26,51700.0
8.4,73,123,27,13,2,17,64200.0
1.9,74,182,49,27,17,20,61500.0
3.3,65,251,1,29,11,14,34600.0
8.0,13,163,7,7,20,2,10000.0
1.4,50,228,7,5,8,19,10000.0
7.3,32,265,24,3,1,1,49700.0
8.0,87,97,34,5,7,0,69600.0
4.4,31,115,37,5,15,21,11600.0
7.0,51,294,50,27,0,18,101800.0
3.5,88,227,29,25,0,6,93900.0
3.5,80,201,27,21,7,12,63500.0
9.8,77,91,4,1,6,17,19200.0
5.4,84,244,45,24,6,12,93000.0
6.1,100,172,13,1,17,18,10000.0
4.1,74,219,44,9,11,25,40900.0
8.5,36,123,11,29,7,26,42300.0
6.7,96,179,12,14,15,5,40200.0
5.9,98,153,9,10,5,4,51200.0
6.9,54,237,42,10,18,24,27000.0
5.0,60,277,17,15,10,24,23500.0
3.4,92,251,4,14,4,17,34400.0
4.4,30,292,16,7,13,25,10000.0
2.0,67,241,30,5,7,26,21600.0
4.0,11,206,42,22,11,18,46300.0
8.5,38,270,4,27,1,9,61900.0
2.5,40,190,49,2,12,1,44000.0
6.3,3,85,32,20,10,20,35500.0
5.7,34,135,11,5,15,1,10000.0
4.6,92,125,45,23,19,13,65300.0
3.3,19,272,8,29,14,25,10800.0
2.3,52,230,7,18,15,11,13200.0
5.1,39,118,7,18,3,5,44900.0
3.5,40,80,4,25,15,21,10000.0
3.7,92,271,47,3,13,26,34500.0
6.2,100,282,0,1,3,11,26900.0
4.3,39,80,37,9,14,13,29800.0
8.5,42,277,12,17,12,26,17100.0
1.0,96,132,2,19,12,11,26300.0
8.0,24,249,14,7,19,19,10000.0
9.1,98,202,12,25,20,28,29100.0
4.5,93,84,35,25,6,27,70400.0
4.2,9,82,5,3,4,0,12600.0
8.1,13,160,33,22,2,3,79100.0
6.1,31,204,21,12,10,3,37500.0
3.7,3,86,18,12,2,3,37300.0
8.3,64,82,18,25,9,2,71300.0
9.0,37,245,27,2,3,17,36100.0
3.3,91,180,19,7,3,26,31400.0
2.8,28,208,13,17,13,11,15500.0
6.6,29,90,4,16,11,3,24900.0
5.7,26,123,3,22,3,16,33200.0
6.7,6,217,48,20,20,23,30200.0
2.5,23,200,24,5,7,19,10400.0
3.7,35,201,30,18,15,1,43900.0
9.8,7,102,24,10,5,9,41700.0
4.0,77,137,39,21,14,15,58600.0
2.0,23,121,31,19,6,5,53400.0
7.2,94,146,35,8,3,18,65600.0
8.9,46,91,16,23,18,11,35100.0
8.6,76,236,32,25,14,19,62500.0
6.7,35,172,23,22,17,5,40900.0
6.1,36,138,42,20,16,18,45000.0
8.7,73,141,49,28,12,3,103300.0
6.6,61,243,48,16,3,22,75500.0
9.6,39,165,21,22,4,6,70900.0
5.6,63,110,24,26,4,20,65100.0
10.0,95,254,42,4,11,4,70500.0
5.9,47,274,4,9,4,12,23400.0
9.4,22,244,20,10,18,5,19400.0
8.2,7,86,22,3,12,3,18000.0
1.7,13,280,48,1,9,2,36800.0
1.3,18,87,7,20,7,5,26000.0
2.2,46,203,31,29,4,10,74700.0
1.4,39,206,37,12,15,3,36500.0
8.0,46,192,27,15,18,8,35300.0
4.9,86,93,12,18,8,24,34600.0
7.2,25,221,27,5,7,19,23400.0
6.2,23,222,25,10,0,16,43300.0
9.6,42,166,47,7,7,0,75300.0
3.1,6,95,4,13,8,1,14500.0
6.2,40,128,32,23,18,15,39900.0
5.0,59,166,9,14,5,5,42700.0
5.0,50,133,47,29,2,26,85500.0
8.7,38,130,21,28,8,1,74800.0
9.9,3,293,45,11,18,25,21200.0
3.7,33,269,28,18,2,1,67300.0
9.9,28,254,8,3,16,17,10000.0
5.3,76,287,43,14,10,2,75400.0
3.7,90,234,2,2,9,5,16400.0
7.9,53,244,20,7,16,21,10000.0
7.4,72,146,34,18,13,23,48400.0
4.3,17,209,33,15,11,10,37200.0
3.1,60,226,13,19,12,23,18700.0
5.7,34,99,13,3,8,8,15100.0
4.0,70,137,24,28,4,8,79000.0
7.8,74,267,35,5,20,7,33300.0
9.2,25,227,35,6,1,18,49900.0
8.9,37,218,37,22,18,22,40900.0
2.8,100,273,20,21,17,14,39100.0
5.7,32,112,41,30,19,10,59000.0
7.9,24,117,48,8,9,28,37000.0
3.7,46,103,28,7,13,10,23700.0
9.3,46,127,30,11,8,0,62900.0
6.3,92,117,31,1,9,23,31700.0
8.3,88,257,22,23,8,28,55500.0
6.8,2,175,24,14,8,7,36200.0
3.1,33,181,22,1,7,26,10000.0
8.8,78,174,5,6,15,13,12000.0
1.9,24,254,26,18,5,10,44000.0
8.8,36,279,11,24,3,5,64400.0
6.0,59,102,26,14,4,27,41700.0
10.0,66,144,29,16,6,23,57800.0
7.0,80,206,13,19,14,28,23500.0
7.2,44,194,6,4,8,5,18600.0
6.5,90,196,32,26,13,28,57000.0
3.8,93,184,35,27,4,26,77000.0
4.7,85,258,16,1,19,24,10000.0
6.9,82,174,47,28,20,19,68400.0
2.4,58,287,11,26,12,28,20200.0
2.5,1,229,35,5,20,8,10000.0
3.9,56,268,6,13,11,19,10000.0
4.4,62,112,19,17,17,12,25900.0
8.0,56,261,46,27,8,27,76300.0
4.8,29,182,31,4,19,0,17300.0
4.8,73,199,24,7,20,15,11000.0
7.6,69,124,2,24,13,12,35900.0
7.7,67,265,2,10,16,11,10000.0
2.8,61,89,21,21,5,16,50400.0
3.1,6,94,29,29,3,5,69500.0
5.2,95,263,13,27,19,11,43400.0
9.7,42,138,49,28,18,19,68000.0
9.4,69,178,22,20,8,5,70500.0
7.4,84,241,6,2,12,3,22000.0
5.9,12,235,34,22,17,27,21400.0
2.5,100,208,37,22,13,20,59000.0
9.8,79,166,11,0,9,9,27300.0
6.9,5,217,41,27,20,25,31800.0
8.1,47,264,43,20,7,10,79300.0
3.4,60,102,41,22,4,9,81800.0
2.2,36,292,9,11,18,6,10000.0
8.5,9,223,11,19,0,14,45200.0
7.8,87,271,3,3,15,6,13200.0
9.5,54,296,23,1,16,25,10000.0
6.1,100,236,45,14,5,11,87200.0
4.0,92,171,8,1,20,24,10000.0
2.6,73,131,7,13,12,21,10000.0
5.0,60,290,4,23,14,16,22500.0
3.3,83,261,7,11,20,9,10000.0
3.1,90,104,19,7,20,11,11700.0
3.6,35,282,9,13,15,27,10000.0
5.4,62,95,37,29,14,25,56900.0
9.3,77,202,6,21,4,6,65200.0
1.7,27,197,41,5,15,8,22000.0
8.8,4,288,29,14,14,5,35800.0
4.9,93,284,7,6,7,21,18700.0
3.2,27,234,15,0,8,0,13500.0
3.0,70,146,6,16,13,11,20000.0
7.4,99,166,47,8,9,26,59500.0
9.6,67,295,11,23,20,18,26800.0
7.6,15,94,48,0,3,20,41700.0
6.2,74,231,23,4,11,6,35600.0
2.8,1,298,48,1,9,22,15400.0
4.0,96,131,18,28,2,4,88800.0
1.4,86,266,29,6,9,5,43600.0
4.2,19,184,38,5,6,16,31600.0
7.4,84,282,45,5,5,27,55500.0
6.5,16,228,19,12,15,23,10000.0
1.5,71,252,22,15,8,18,34800.0
8.6,44,184,12,30,4,24,55400.0
9.8,15,157,40,11,1,11,67600.0
6.1,73,105,15,14,14,5,37100.0
4.1,66,145,38,29,6,22,75500.0
7.1,71,175,28,1,16,11,22000.0
4.5,42,294,39,28,17,26,42600.0
9.3,61,127,47,27,5,8,106400.0
6.1,8,295,18,3,20,3,10000.0
2.8,41,223,34,14,1,24,46900.0
9.3,72,139,9,1,2,22,24700.0
2.1,27,245,43,10,2,11,55300.0
4.0,33,130,6,28,16,27,10000.0
7.0,21,231,19,22,17,0,38300.0
1.2,56,234,14,21,16,16,16700.0
1.1,71,159,32,19,8,10,58000.0
3.0,83,146,39,0,11,8,39900.0
3.7,66,244,8,24,14,28,15200.0
2.6,69,84,16,26,14,28,24900.0
4.0,7,182,22,17,13,11,20600.0
9.3,86,254,14,28,12,8,68400.0
4.3,40,154,18,21,6,26,32100.0
4.5,75,285,14,22,10,28,30500.0
2.1,69,124,5,7,3,10,24400.0
6.1,62,212,9,27,3,22,52300.0
7.3,40,261,33,17,3,13,66100.0
2.7,84,116,23,29,0,9,88100.0
9.4,42,194,40,13,2,18,68900.0
7.4,87,193,17,3,0,21,41400.0
3.1,5,112,5,16,16,26,10000.0
1.4,47,265,20,3,15,12,10000.0
7.4,31,190,19,12,15,2,29100.0
2.9,77,166,30,24,11,15,57900.0
7.3,27,267,50,18,15,13,56700.0
1.7,86,225,50,14,6,6,82200.0
6.3,39,261,24,1,1,6,41800.0
1.7,87,279,40,29,11,14,77000.0
9.1,0,298,39,23,14,11,52700.0
2.3,8,257,15,0,8,17,10000.0
6.8,39,190,14,4,17,3,10000.0
6.3,56,259,44,15,8,2,77900.0
8.4,43,215,11,25,4,6,64200.0
6.6,81,172,8,3,2,9,37000.0
2.0,72,282,17,25,1,20,58100.0
4.2,41,229,30,2,17,2,17700.0
5.2,1,204,47,10,4,3,61700.0
8.8,63,225,43,18,5,6,90500.0
2.6,39,124,39,24,4,28,55900.0
3.3,5,291,8,24,3,21,25100.0
5.3,85,114,34,15,3,26,60600.0
6.3,85,212,45,29,18,23,67600.0
7.8,99,142,35,18,3,21,80300.0
7.3,25,144,9,6,14,1,11100.0
4.5,24,150,4,9,9,25,10000.0
1.9,56,102,33,18,8,26,38600.0
9.3,45,204,40,28,9,22,74100.0
3.3,37,219,36,15,5,1,65200.0
5.6,3,167,38,5,12,13,20600.0
5.2,94,197,30,14,14,4,57600.0
1.5,68,183,33,13,3,16,53900.0
5.3,29,250,40,19,3,18,63800.0
8.9,43,89,31,14,20,13,29700.0
6.2,7,217,34,26,4,14,65500.0
4.6,43,194,27,17,1,1,71600.0
2.5,91,246,20,23,1,13,71800.0
4.0,49,145,15,22,20,12,18700.0
5.2,67,110,44,25,2,1,107000.0
3.8,62,155,36,19,0,6,84700.0
9.7,90,164,42,13,19,24,45900.0
7.3,100,276,7,0,15,7,14600.0
4.5,9,209,50,28,3,7,90700.0
2.8,67,186,16,7,18,27,10000.0
7.2,76,298,38,18,16,12,58200.0
8.9,45,134,42,30,6,2,104300.0
9.5,82,289,3,6,0,16,39600.0
9.5,73,258,34,11,7,2,75400.0
2.5,44,102,38,21,8,3,68700.0
2.0,8,172,18,16,3,26,16400.0
4.9,31,228,9,14,19,1,10100.0
4.9,67,98,35,9,8,26,36400.0
1.5,22,117,30,23,6,22,40100.0
9.5,56,220,22,2,5,15,35800.0
9.8,42,193,33,21,4,10,78700.0
3.3,30,111,14,21,18,9,16100.0
8.6,17,290,42,16,9,15,55300.0
1.3,60,223,46,13,0,22,64100.0
6.8,99,257,18,14,9,15,49300.0
7.9,21,89,17,0,18,17,10000.0
5.6,23,165,12,30,1,12,61100.0
8.1,81,134,13,5,4,16,37000.0
5.7,89,227,49,23,2,5,112600.0
5.5,69,202,37,23,4,19,76200.0
8.6,4,157,19,9,12,27,10000.0
7.3,17,170,29,12,2,1,61700.0
4.8,7,276,9,11,11,18,10000.0
5.2,12,240,30,17,13,6,37500.0
9.9,34,107,14,3,10,27,10000.0
1.8,71,129,3,22,16,1,27900.0
8.3,12,292,29,2,20,4,10000.0
2.8,22,175,17,6,3,18,14200.0
1.1,61,251,33,21,13,19,40000.0
8.1,16,254,37,22,16,6,53000.0
9.9,100,225,32,21,19,24,51300.0
7.1,7,149,8,12,7,22,10000.0
3.4,44,283,9,9,7,8,20500.0
1.6,44,83,3,9,3,17,10000.0
5.6,30,208,17,12,3,22,27200.0
9.1,10,178,46,28,18,24,49200.0
4.0,55,112,3,28,4,9,52500.0
4.0,59,278,35,24,14,0,68700.0
1.4,0,246,6,13,8,3,10000.0
4.5,97,113,45,9,14,15,53600.0
4.5,63,155,17,9,2,4,50400.0
9.1,40,144,16,6,15,12,13200.0
6.9,95,144,16,24,10,6,68300.0
6.4,65,172,19,12,3,6,57300.0
7.6,94,89,12,15,5,19,48900.0
9.4,19,270,27,19,11,14,44000.0
3.4,75,261,40,3,12,23,26800.0
8.5,49,283,39,12,5,25,53700.0
9.4,51,110,36,21,11,14,65600.0
6.0,37,213,36,18,1,3,81100.0
6.3,57,289,48,22,4,16,86700.0
6.4,14,169,25,18,10,20,29000.0
1.7,42,105,7,25,4,12,40500.0
9.1,98,105,39,20,10,0,96600.0
3.4,70,227,38,10,18,15,29800.0
8.8,49,154,16,5,4,15,32800.0
3.8,19,104,11,19,1,2,48800.0
2.6,9,130,46,1,6,21,22400.0
6.9,14,155,5,11,3,23,10500.0
7.0,73,192,30,27,17,22,50400.0
3.3,4,172,19,26,9,28,19800.0
6.7,40,261,8,13,16,5,15900.0
4.0,83,200,25,10,9,14,40900.0
1.5,5,105,12,17,9,3,21000.0
3.5,63,117,20,20,8,10,49900.0
3.8,100,192,21,16,13,4,52600.0
4.4,53,105,2,8,18,12,10000.0
3.9,67,177,30,7,10,14,34400.0
4.3,4,241,35,16,0,25,43800.0
1.6,85,241,21,19,20,0,38200.0
5.6,11,197,34,17,17,21,19000.0
1.0,33,109,19,23,6,6,47400.0
9.9,71,271,5,12,9,27,19100.0
2.0,38,186,14,5,2,26,10000.0
9.7,35,231,46,3,2,20,56400.0
1.3,61,280,38,6,5,13,44900.0
8.5,88,201,32,27,9,8,89900.0
4.2,60,170,23,6,17,11,13400.0
6.4,74,261,11,13,10,12,33500.0
6.5,3,176,45,30,17,9,60900.0
4.2,88,295,26,30,8,8,81800.0
2.0,69,172,1,27,7,21,31200.0
5.0,77,285,13,26,3,25,54100.0
5.9,81,88,5,17,11,10,34600.0
4.5,54,218,34,6,14,25,15200.0
9.3,41,297,46,24,16,27,53900.0
3.0,69,249,1,1,3,16,10000.0
2.8,23,272,14,9,2,10,26000.0
3.1,64,238,20,3,8,0,33900.0
3.3,13,121,0,14,16,14,10000.0
1.5,85,183,17,26,20,23,21500.0
5.6,100,242,15,19,10,5,59700.0
2.4,94,239,12,24,6,13,56000.0
3.1,99,176,26,9,16,8,35400.0
8.2,62,126,40,12,4,11,74000.0
4.1,64,259,0,22,11,5,33400.0
8.2,53,287,24,29,13,10,63800.0
3.1,95,100,23,20,6,24,51700.0
2.4,72,228,17,9,1,11,43900.0
6.2,61,127,41,24,19,20,49700.0
9.6,52,186,44,8,20,8,42800.0
5.3,79,250,38,8,0,27,57300.0
3.8,5,195,12,6,3,6,18100.0
7.6,50,264,38,16,6,12,68200.0
6.4,60,217,32,10,10,11,46800.0
7.4,9,256,4,21,2,27,22000.0
3.8,62,97,44,0,4,13,49200.0
3.7,86,225,38,8,7,23,46200.0
6.7,20,277,15,29,4,25,44900.0
2.9,33,185,1,17,18,16,10000.0
4.8,51,232,46,4,16,1,43900.0
8.0,30,275,34,17,1,4,78500.0
2.0,98,106,42,3,3,15,58900.0
4.1,88,254,49,20,19,12,63600.0
8.1,33,265,44,9,19,22,23600.0
2.4,12,236,35,14,1,21,41400.0
9.6,99,153,44,29,2,20,112400.0
5.8,55,137,10,6,4,14,25100.0
2.4,50,121,21,25,13,4,48300.0
5.3,93,150,37,3,17,26,20000.0
9.0,3,199,4,22,5,4,41900.0
7.4,12,90,43,1,19,24,10000.0
3.2,54,258,45,4,6,17,44600.0
4.6,2,139,36,29,0,23,66300.0
3.2,22,148,35,9,9,26,17500.0
2.4,94,115,50,2,9,24,44000.0
6.7,69,156,38,26,20,4,67100.0
3.7,65,240,8,13,13,8,20400.0
7.1,82,284,8,16,10,24,26800.0
9.5,12,192,38,29,6,26,66100.0
7.9,25,206,7,28,11,18,32300.0
8.9,37,167,30,27,6,19,68400.0
7.9,82,126,42,8,20,5,49400.0
1.5,43,233,25,1,10,28,10000.0
5.5,8,119,50,26,16,4,66400.0
6.9,67,288,19,28,17,22,38900.0
8.2,83,98,33,11,11,22,46800.0
5.5,43,276,35,23,7,28,51400.0
8.1,83,164,47,6,10,8,69100.0
6.4,16,146,33,4,16,11,13600.0
2.0,35,251,42,16,1,0,78500.0
6.0,2,132,8,15,1,24,17100.0
8.9,76,215,5,16,14,4,37600.0
5.1,90,281,9,12,15,17,17200.0
5.9,5,283,19,30,8,15,46300.0
3.3,44,269,0,7,17,18,10000.0
5.5,24,112,40,13,0,17,60700.0
3.2,45,98,45,7,0,10,65400.0
5.5,7,213,16,12,10,21,10000.0
2.9,93,210,48,4,10,0,67700.0
2.8,92,295,10,10,20,4,14200.0
2.2,58,169,13,15,0,12,45300.0
4.6,91,114,13,16,19,4,31500.0
7.2,87,105,14,17,10,11,49000.0
1.9,50,297,49,12,16,10,43800.0
9.0,100,233,9,9,7,14,42500.0
2.9,96,84,24,20,8,12,60600.0
1.1,41,161,10,14,12,23,10000.0
5.2,18,279,0,4,4,14,10000.0
3.4,82,297,12,25,2,18,58900.0
5.7,15,201,21,14,19,5,14900.0
1.5,93,236,25,17,18,27,18400.0
6.4,58,174,31,0,3,22,33200.0
9.4,60,252,29,20,11,16,57800.0
7.5,59,231,38,13,11,28,40200.0
8.9,68,293,45,14,12,23,57200.0
2.1,62,200,42,11,10,1,60300.0
7.9,80,86,24,12,17,19,28800.0
6.9,92,213,35,22,6,3,94400.0
7.6,27,251,43,7,17,21,21800.0
9.9,29,168,48,14,18,13,48500.0
4.1,89,229,42,0,6,24,40900.0
7.4,41,253,34,25,7,16,68600.0
2.9,84,142,9,18,1,16,49000.0
9.9,34,85,8,11,9,6,30500.0
7.4,39,236,16,16,6,25,29500.0
3.3,3,105,21,3,5,28,10000.0
1.7,21,256,2,4,12,15,10000.0
5.9,97,225,32,5,15,2,48400.0
6.7,75,154,42,27,19,2,78400.0
4.2,76,244,45,4,6,17,53200.0
5.3,73,221,40,16,16,8,56500.0
4.6,93,104,28,12,11,19,42100.0
10.0,30,89,27,21,13,16,45500.0
3.1,43,103,42,15,12,9,50600.0
1.0,65,112,0,12,20,26,10000.0
2.8,95,233,28,9,20,20,15600.0
7.3,11,259,2,21,20,20,10000.0
8.5,63,114,48,29,15,24,73400.0
7.2,18,262,36,6,14,11,25800.0
4.4,73,188,20,10,18,11,18700.0
9.3,85,115,47,22,9,14,92100.0
4.5,68,217,17,17,18,6,29900.0
3.6,17,261,2,26,12,17,12300.0
4.4,35,220,29,30,14,8,57300.0
6.3,30,207,21,2,19,23,10000.0
3.1,56,104,39,17,5,21,56500.0
2.4,12,257,16,26,14,19,16400.0
6.5,19,187,20,9,14,27,10000.0
9.4,19,298,4,1,1,3,25000.0
5.2,79,202,5,3,13,5,12600.0
3.3,80,293,50,12,16,4,62600.0
1.7,76,103,2,12,12,18,10000.0
4.2,100,291,10,0,17,21,10000.0
9.8,1,101,23,1,3,17,21400.0
4.3,87,134,8,21,1,10,62200.0
7.4,73,161,3,8,9,15,18700.0
1.2,49,135,31,30,14,8,57100.0
6.0,86,84,38,3,10,17,43300.0
2.9,83,115,5,19,20,15,10000.0
7.3,54,112,14,12,14,3,31800.0
3.6,18,156,15,0,20,4,10000.0
3.3,10,243,17,18,2,22,27600.0
7.2,13,175,3,25,6,23,23800.0
7.0,91,155,7,5,14,5,22800.0
2.1,25,261,47,10,5,20,43700.0
2.2,85,291,46,22,19,20,50900.0
8.6,73,83,33,25,19,14,57600.0
2.0,74,81,20,15,10,7,41700.0
6.9,25,172,25,27,19,0,48800.0
8.1,51,80,6,20,13,5,36500.0
9.5,44,209,8,1,20,22,10000.0
8.0,7,217,44,14,8,3,64100.0
7.5,48,297,17,2,19,27,10000.0
5.5,14,99,46,11,6,20,45700.0
6.9,77,186,26,10,8,4,57900.0
6.8,74,100,11,5,4,7,39300.0
5.2,54,147,21,19,1,17,57100.0
3.0,40,269,33,24,19,16,33000.0
4.6,20,99,25,22,9,10,45200.0
7.6,49,248,25,30,16,8,59900.0
5.7,78,194,36,17,5,19,67300.0
9.2,48,258,28,30,10,5,80800.0
8.6,12,248,24,14,14,8,29800.0
4.8,97,218,50,13,2,9,95200.0
9.6,71,129,0,8,8,15,21500.0
1.9,36,218,3,13,20,22,10000.0
4.8,39,218,40,15,3,10,67800.0
3.8,31,297,16,13,16,6,14400.0
1.4,19,204,4,27,12,14,15000.0
6.4,39,213,24,29,2,3,85000.0
1.8,65,170,6,14,14,8,14100.0
7.6,76,220,47,17,16,23,55500.0
7.2,70,83,25,26,18,19,44400.0
6.7,98,186,40,29,16,27,67300.0
1.1,83,109,24,3,19,20,10000.0
9.5,60,299,29,1,8,8,43500.0
4.6,63,246,7,21,7,15,37600.0
1.4,46,188,18,29,4,11,59100.0
3.2,72,124,33,21,11,11,59500.0
5.1,55,259,30,6,17,4,27700.0
6.0,75,272,13,11,4,18,38000.0
3.7,77,255,44,11,3,2,83000.0
1.6,47,219,4,25,16,9,17800.0
3.8,39,80,26,28,0,14,73300.0
7.3,75,287,16,24,10,23,46100.0
9.8,66,141,10,30,1,19,73400.0
6.5,86,300,32,20,20,3,57800.0
5.2,58,266,36,22,9,13,65800.0
2.7,53,166,32,5,4,15,37800.0
3.7,12,234,3,15,14,14,10000.0
2.3,9,101,41,19,19,20,18800.0
8.8,44,200,28,9,17,0,38300.0
5.8,92,299,48,20,19,15,64200.0
8.3,82,289,44,28,6,11,104200.0
9.5,26,111,50,30,8,26,79800.0
1.3,34,111,42,14,19,25,12800.0
2.4,73,102,4,22,7,8,41700.0
4.4,72,212,30,20,11,17,51400.0
3.5,33,243,2,17,14,12,10000.0
5.1,96,191,2,3,20,22,10000.0
3.1,61,167,2,24,5,1,51500.0
7.0,55,194,17,19,6,27,37000.0
1.6,9,89,13,28,10,26,14900.0
9.0,52,290,28,15,14,7,49100.0
8.0,22,222,23,3,8,17,17100.0
8.2,99,290,5,18,20,6,32100.0
1.3,53,252,3,10,1,24,10500.0
7.3,27,119,29,2,2,13,37700.0
2.5,2,159,50,3,17,23,10000.0
2.1,89,130,20,16,6,17,45900.0
7.1,19,292,38,1,13,17,16400.0
6.1,86,154,42,17,1,13,90500.0
7.2,7,115,21,13,9,8,31000.0
7.3,86,134,21,2,0,28,36400.0
6.3,46,87,9,3,1,13,24900.0
3.2,69,134,6,29,8,20,40600.0
9.8,24,88,36,11,7,2,63300.0
1.3,89,298,21,19,0,24,54800.0
4.5,65,101,47,12,6,2,79500.0
9.2,20,158,8,25,5,24,35900.0
3.0,65,280,23,30,4,24,61500.0
8.9,0,253,37,28,13,28,42800.0
7.8,5,244,47,12,5,18,54100.0
3.5,96,169,46,18,4,27,73800.0
5.8,34,175,11,23,13,26,15300.0
1.5,55,85,41,19,12,9,56000.0
5.3,95,86,35,28,2,16,96100.0
7.3,54,198,5,25,6,24,37300.0
4.0,80,139,27,18,6,14,60000.0
3.7,39,98,30,9,18,21,10000.0
5.0,32,96,17,5,10,28,10000.0
5.0,17,162,9,10,20,18,10000.0
4.0,54,279,25,30,12,8,62200.0
3.5,88,208,9,15,18,3,25900.0
6.2,90,155,49,3,11,13,57900.0
7.9,77,104,23,23,18,0,60400.0
5.0,30,275,15,7,10,19,10000.0
8.2,81,144,39,21,15,9,72200.0
4.1,2,144,17,8,10,6,11800.0
7.8,62,119,19,6,7,12,36200.0
9.3,24,114,7,14,1,24,27800.0
3.3,31,213,3,20,9,16,14900.0
7.6,85,282,19,21,1,20,69200.0
6.1,91,154,20,5,18,3,28000.0
9.8,100,96,4,11,0,7,63100.0
3.2,96,119,3,21,15,1,38700.0
2.1,2,155,0,30,2,10,35800.0
1.1,54,107,27,3,3,9,34900.0
9.6,7,290,32,11,12,13,32800.0
3.7,37,135,34,16,19,25,13500.0
3.2,39,158,26,26,7,5,64100.0
4.3,0,99,13,29,4,19,38100.0
1.3,86,235,37,11,7,5,62900.0
9.7,54,124,5,14,9,22,21600.0
4.6,73,164,12,16,18,27,10000.0
9.6,99,248,48,16,9,26,76900.0
1.3,16,223,20,28,0,25,44400.0
5.4,82,116,12,27,17,0,53900.0
1.1,21,275,37,13,20,13,12000.0
5.9,7,297,0,13,19,13,10000.0
3.4,0,199,28,18,19,26,10000.0
2.3,68,138,33,12,9,1,57000.0
